CircuitKoptRelax(6)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(42)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(42)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(42)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(42)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(42)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(42)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(42)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(42)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(42)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(18)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(42)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
